Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
18,HandsomeCourt,"December 7, 2016",住宅,新界,屯門,青山公路青山灣段,362-388號,恒順園,,平臺,Podium,,Handsome Court,362-388,Castle Peak Road (Castle Peak Bay),Tuen Mun,New Territories,N,Handsome,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
19,CheungHangShoppingCentre,"December 8, 2016",商場,新界,青衣,寮肚路,,長亨商場,地下,酒樓對門,Opposite the restaurant,G/F,Cheung Hang Shopping Centre,,Liu To Road,Tsing Yi,New Territories,N,Charlie,R,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
20,TsingYiEstate,"December 8, 2016",住宅,新界,青衣,楓樹窩路 ,10號,青衣邨,,巴士站對面，管理處附近,Opposite Bus Station (near management office),,Tsing Yi Estate,10,Fung Shue Wo Road,Tsing Yi,New Territories,N,Joey,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
21,HinKengShoppingCentre,"December 8, 2016",商場,新界,大圍,車公廟道,69號,顯徑商場,地下,華潤超級市場附近,Near Vanguard,G/F,Hin Keng Shopping Centre,69,Che Kung Miu Rd,Tai Wai,New Territories,N,Hayden,R,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
22,BayviewGarden,"December 9, 2016",住宅,新界,荃灣,青山公路荃灣段,633號,灣景花園,,平臺,Podium,,Bayview Garden,633,Castle Peak Road (Tsuen Wan),Tsuen Wan,New Territories,N,Wendy,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
23,TaiWoPlaza,"December 9, 2016",商場,新界,大埔,太和路,12號,太和商場,1樓,1/F,1/F,1/F,Tai Wo Plaza,12,Tai Wo Road,Tai Po,New Territories,N,Terry,R,54,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
24,LekYuenPlaza,"December 12, 2016",商場,新界,沙田,瀝源街,6號,瀝源廣場,,汽水機旁邊,Next to vending machine,,Lek Yuen Plaza,6,Lek Yuen Street,Sha Tin,New Territories,N,Lilian,L,18,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
25,HengOnShoppingCentre,"December 12, 2016",商場,新界,馬鞍山,恆錦街,1號,恆安商場,,惠康對面,Opposite Wellcome,,Heng On Shopping Centre,1,Hang Kam Street,Ma On Shan,New Territories,N,Hannah,R,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
26,GrandPromenade,"December 13, 2016",住宅,香港,西灣河,太康街,38號,嘉亨灣,,大門外,Outside the gate,,Grand Promenade,38,Tai Hong Street,Sai Wan Ho,Hong Kong,Y,Gaven,L,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
27,AldrichGarden,"December 13, 2016",住宅,香港,筲箕灣,愛禮街,2號,愛蝶灣,,愛蝶灣5座,Block 5,,Aldrich Garden,2,Oi Lai Street,Shau Kei Wan,Hong Kong,N,Eddie,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
