Item,Locker Name,Deployment Date,Building Type,地址,,,,,,,Address in English,,,,,,,Club House,Nickname,Locker Type,,Availability,Publicly Accessible,Serial No.,Key,SIM Card Number,Deployment,,,,Sticker Requirement
,,,,地域,地區,街道名稱,街道門牌,樓宇名稱,樓層,單位/描述,Description,Floor,Building,Street No.,Street,District,Region,,,Kiosk,Boxes,,,,,,Camera,,Wall Mount,Rain Cover ,
0,test-hk1,,,,,,,,,,,,,,,,,N,Testing,,,24,N,,2021,,DONE,,,,
0,test-hk2,,,,,,,,,,,,,,,,,N,Testing,,,24,N,,,,DONE,,,,
0,test-hk3,,,,,,,,,,,,,,,,,N,Testing,,,24,N,,,,DONE,,,,
1,ManhattanHill,10/24/16,住宅,九龍,荔枝角,寶輪街,1號,曼克頓山,,2樓穿梭大堂,Shttle Lift Lobby,2/F,Manhattan Hill,1,Po Lun Street,Lai Chi Kok,Kowloon,Y,Michael,R,36,7:00-23:00,N,,2233,8985207155208607319,DONE ,,,,
2,TsuiChukGardenBlock2,12/3/16,住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第二座,,翠竹花園第2座大門外,Block 2. Next to Gate,,Tsui Chuk Garden Block2,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Tracy,R,18,24,Y,MDL28016,3503,8985207155208607335,DONE ,,,,
3,TsuiChukGardenBlock9,12/3/16,住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第九座,,翠竹花園第9座大門外,"Block 8, Next to Gate ",,Tsui Chuk Garden Block9,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Theresa,R,18,24,Y,MDL28006,3211,8985207155208607315,DONE ,,,,
4,HilltopGardens,12/3/16,住宅,九龍,鑽石山,豐盛街,33號,海港花園,,海港花園大門入口,Gate Entrance,,Hilltop Gardens,33,Fung Shing Street,Diamond Hill,Kowloon,N,Hugo,R,18,24,Y,MDL28007,3534,8985207155208607321,DONE ,,,,
5,EntrepotCentre,12/5/16,工廈,九龍,觀塘,巧明街,117號,港貿中心,1樓,電梯旁,Next to escalator,1/F,Entrepot Centre,117,How Ming Street,Kwun Tong,Kowloon,N,Amber,R,18,7:00-23:00,Y,MDL28026,3506,8985207155208607330,DONE ,,,,
6,CamelPaintBuildingBlock3,12/5/16,工廈,九龍,觀塘,開源道,60號,駱駝漆大廈第3座及車場,地下,停車棚,"Car Park Lobby, under the Fan ",,Camel Paint Building Block3,60,Hoi Yuen Road,Kwun Tong,Kowloon,N,Lucas,R,36,24,Y,MDL28013,3502,8985207155208607322,DONE ,,,,
7,HongYatCourt,12/5/16,住宅,九龍,藍田,德田街,1號,康逸苑,,啟田邨接駁天橋,Pedestrian Bridge connected to Kai Tin Estate,,Hong Yat Court,1,Tak Tin Street,Lam Tin,Kowloon,N,Honey,R,36,24,Y,MDL28012,3519,8985207155208607327,DONE ,,,,
